,open,end_time,volume,start_time,close,high,low
3898,11777.98,1603191599999,9535.242,1603188000000,11829.05,11840.00,11766.92
3899,11829.05,1603195199999,47311.085,1603191600000,11774.20,11937.63,11705.00
3900,11774.09,1603198799999,16325.250,1603195200000,11872.48,11887.05,11760.00
3901,11872.66,1603202399999,18595.051,1603198800000,11929.74,11949.00,11810.00
3902,11926.97,1603205999999,22093.139,1603202400000,11907.90,11970.00,11863.52
3903,11907.91,1603209599999,28328.060,1603206000000,11920.79,11980.00,11860.01
3904,11920.76,1603213199999,19667.585,1603209600000,11961.05,11989.00,11882.21
3905,11961.05,1603216799999,23504.991,1603213200000,11957.10,12045.78,11933.18
3906,11956.57,1603220399999,12026.440,1603216800000,11957.29,11971.81,11908.00
3907,11957.28,1603223999999,10678.102,1603220400000,11905.27,11976.32,11880.01
3908,11907.17,1603227599999,12092.952,1603224000000,11889.62,11907.17,11851.00
3909,11889.62,1603231199999,5875.948,1603227600000,11914.76,11932.33,11872.41
3910,11914.76,1603234799999,5148.428,1603231200000,11942.31,11947.64,11910.76
3911,11942.02,1603238399999,6456.494,1603234800000,11900.03,11954.83,11878.00
3912,11900.03,1603241999999,7017.828,1603238400000,11966.20,11974.00,11876.00
3913,11966.20,1603245599999,11932.725,1603242000000,11981.88,12010.99,11959.02
3914,11981.88,1603249199999,22189.574,1603245600000,12115.48,12129.99,11965.08
3915,12115.02,1603252799999,36877.275,1603249200000,12172.67,12232.90,12115.02
3916,12172.67,1603256399999,20941.702,1603252800000,12261.34,12294.96,12162.12
3917,12261.35,1603259999999,11525.346,1603256400000,12221.61,12273.79,12208.00
3918,12221.62,1603263599999,8098.733,1603260000000,12227.48,12274.95,12221.62
3919,12227.49,1603267199999,16381.563,1603263600000,12193.32,12244.41,12116.00
3920,12193.32,1603270799999,9361.253,1603267200000,12146.58,12203.32,12132.08
3921,12146.58,1603274399999,7932.232,1603270800000,12190.03,12198.73,12125.00
3922,12190.02,1603277999999,10182.901,1603274400000,12212.59,12253.00,12190.02
3923,12212.58,1603281599999,26893.640,1603278000000,12329.99,12382.23,12173.02
3924,12329.48,1603285199999,39112.089,1603281600000,12401.27,12436.99,12265.00
3925,12401.26,1603288799999,30359.002,1603285200000,12471.06,12472.40,12355.66
3926,12471.07,1603292399999,73663.010,1603288800000,12738.51,12888.88,12416.00
3927,12737.93,1603295999999,25816.366,1603292400000,12729.81,12742.47,12566.85
3928,12729.81,1603299599999,40894.960,1603296000000,12822.92,12919.61,12710.00
3929,12822.91,1603303199999,17991.274,1603299600000,12758.70,12854.89,12718.00
3930,12758.71,1603306799999,10506.049,1603303200000,12758.47,12787.60,12713.00
3931,12758.46,1603310399999,15576.011,1603306800000,12680.00,12786.06,12655.55
3932,12680.00,1603313999999,10211.741,1603310400000,12830.64,12836.84,12676.10
3933,12830.61,1603317599999,30241.721,1603314000000,12907.61,12994.83,12759.08
3934,12907.79,1603321199999,46187.091,1603317600000,13204.52,13220.00,12885.46
3935,13204.53,1603324799999,62068.983,1603321200000,12796.07,13240.00,12630.00
3936,12796.06,1603328399999,14739.536,1603324800000,12905.47,12940.00,12789.06
3937,12905.36,1603331999999,8307.122,1603328400000,12849.78,12908.93,12847.50
3938,12849.77,1603335599999,16852.983,1603332000000,12794.00,12865.00,12690.00
3939,12794.01,1603339199999,7813.208,1603335600000,12724.73,12814.00,12716.54
3940,12724.73,1603342799999,8640.889,1603339200000,12755.77,12780.00,12675.50
3941,12755.77,1603346399999,9129.538,1603342800000,12765.00,12796.30,12705.00
3942,12765.00,1603349999999,6618.639,1603346400000,12812.17,12828.69,12756.15
3943,12812.16,1603353599999,7923.647,1603350000000,12751.88,12812.16,12726.00
3944,12751.88,1603357199999,10892.009,1603353600000,12812.22,12856.42,12744.99
3945,12812.23,1603360799999,22754.907,1603357200000,12873.81,12902.99,12690.00
3946,12873.80,1603364399999,15964.339,1603360800000,12959.11,12981.85,12846.46
3947,12959.12,1603367999999,16552.116,1603364400000,12970.46,13031.37,12924.24
3948,12970.46,1603371599999,19932.759,1603368000000,12850.26,12974.92,12800.67
3949,12850.26,1603375199999,13157.176,1603371600000,12922.27,12965.00,12835.00
3950,12922.27,1603378799999,13381.255,1603375200000,12926.23,12933.84,12838.01
3951,12926.24,1603382399999,11019.601,1603378800000,12932.33,12979.74,12902.09
3952,12932.33,1603385999999,19239.824,1603382400000,13045.00,13075.00,12915.02
3953,13045.00,1603389599999,20522.115,1603386000000,13046.89,13074.99,12926.00
3954,13046.88,1603393199999,7300.216,1603389600000,13043.58,13059.47,13000.00
3955,13043.58,1603396799999,19886.246,1603393200000,13072.17,13149.00,13018.73
3956,13072.18,1603400399999,15257.718,1603396800000,13102.33,13178.16,13072.18
3957,13102.33,1603403999999,17755.568,1603400400000,13133.71,13147.99,12931.36
3958,13133.48,1603407599999,19752.283,1603404000000,13007.88,13188.27,13001.00
3959,13007.89,1603411199999,20457.972,1603407600000,12968.87,13058.90,12931.86
3960,12970.39,1603414799999,18750.202,1603411200000,12912.62,12973.32,12835.75
3961,12912.57,1603418399999,7143.443,1603414800000,12907.17,12941.00,12882.46
3962,12907.16,1603421999999,8241.449,1603418400000,12984.73,12992.30,12883.22
3963,12984.73,1603425599999,6306.580,1603422000000,12959.76,13000.00,12950.29
3964,12959.77,1603429199999,5818.816,1603425600000,12921.01,12977.01,12912.35
3965,12921.00,1603432799999,6512.964,1603429200000,12987.10,12990.59,12908.60
3966,12987.09,1603436399999,12065.950,1603432800000,12877.81,12991.00,12865.33
3967,12877.81,1603439999999,8309.109,1603436400000,12889.36,12919.24,12865.00
3968,12889.35,1603443599999,9856.010,1603440000000,12919.12,12961.83,12856.00
3969,12919.13,1603447199999,7701.116,1603443600000,12947.89,12979.50,12910.93
3970,12947.90,1603450799999,13299.035,1603447200000,13017.09,13043.00,12946.72
3971,13017.09,1603454399999,9377.945,1603450800000,12971.70,13028.16,12962.50
